========================================
YOGA MAT PREMIUM - PRODUCT PAGE
========================================

Product: Yoga Mat Premium
Brand: ZenFlex
Price: $34.99
SKU: SPRT001
Category: Sports & Outdoors

PRODUCT DESCRIPTION:
Elevate your yoga practice with the ZenFlex Premium Yoga Mat. Made from eco-friendly
TPE material, this mat provides the perfect balance of cushioning and stability. The
dual-layer construction offers superior grip on both sides, ensuring your mat stays
in place on any surface.

Key Features:
- Eco-friendly TPE material, free of PVC, latex, and toxic chemicals
- Extra thick 6mm cushioning for joint protection
- Double-sided non-slip texture
- Lightweight (2.5 lbs) and easy to carry
- Includes carrying strap
- Dimensions: 72" x 24" (183cm x 61cm)
- Available in 8 colors
- Closed-cell construction prevents sweat absorption
- Easy to clean with damp cloth

Best For:
- Yoga (all styles including hot yoga)
- Pilates
- Floor exercises
- Meditation
- Stretching

CUSTOMER REVIEWS:
----------------------------------------

Review 1 - Emily R. (Verified Purchase) - 5 stars
"Finally found the perfect yoga mat! The thickness is just right - my knees don't
hurt during kneeling poses anymore. The grip is amazing even when I sweat during
hot yoga. Love the sage green color too!"

Review 2 - Michael B. (Verified Purchase) - 4 stars
"Good quality mat for the price. Took a few days for the initial smell to go away
but now it's fine. Grip is excellent and it hasn't stretched or torn after 6 months
of daily use."

Review 3 - Priya K. (Verified Purchase) - 5 stars
"As a yoga instructor, I've tried dozens of mats. This one offers excellent value.
My students always ask about it. The carrying strap is a nice bonus. Will definitely
buy another when this one wears out."

Review 4 - Tom J. (Verified Purchase) - 5 stars
"Use this for my daily stretching routine and occasional yoga. The cushioning is
perfect for my hardwood floors. Very happy with the purchase. Cleaning is easy -
just wipe it down and let it air dry."
2024-10-26,FOOD001,Organic Coffee Beans 1kg,Food & Grocery,43,24.99,1074.57,North
2024-10-26,ELEC004,Smart Watch Pro,Electronics,46,199.99,9199.54,South
2024-10-26,BOOK001,Python Programming Guide,Books,24,44.99,1079.76,West
2024-10-26,TOYS001,Building Blocks Set 500pc,Toys & Games,46,39.99,1839.54,North
2024-10-26,FOOD002,Protein Bars Box (12),Food & Grocery,12,29.99,359.88,South
2024-10-26,TOYS002,Board Game Strategy,Toys & Games,35,34.99,1224.65,East
2024-10-26,ELEC004,Smart Watch Pro,Electronics,15,199.99,2999.85,East
2024-10-26,BOOK003,Mystery Novel Collection,Books,44,24.99,1099.56,East
2024-10-26,BEAU001,Vitamin C Serum,Beauty & Personal Care,41,28.99,1188.59,North
2024-10-26,SPRT002,Resistance Bands Set,Sports & Outdoors,46,19.99,919.54,South
2024-10-26,TOYS001,Building Blocks Set 500pc,Toys & Games,22,35.39,778.58,South
2024-10-26,ELEC003,Portable Power Bank 20000mAh,Electronics,75,49.99,3749.25,Central
2024-10-26,PETS001,Dog Food Premium 10kg,Pet Supplies,45,54.99,2474.55,Central
2024-10-26,BOOK001,Python Programming Guide,Books,29,44.99,1304.71,North
2024-10-26,TOYS001,Building Blocks Set 500pc,Toys & Games,21,32.62,685.02,North
2024-10-26,OFFC003,Notebook Set Premium,Office Supplies,49,18.99,930.51,West
2024-10-26,BEAU001,Vitamin C Serum,Beauty & Personal Care,16,28.99,463.84,Central
2024-10-27,CLTH004,Denim Jeans Classic,Clothing,66,54.99,3629.34,Central
2024-10-27,FOOD001,Organic Coffee Beans 1kg,Food & Grocery,45,24.99,1124.55,South
2024-10-27,BEAU003,Electric Toothbrush,Beauty & Personal Care,11,49.99,549.89,East
2024-10-27,PETS003,Pet Carrier Medium,Pet Supplies,23,39.99,919.77,North
2024-10-27,CLTH003,Cotton T-Shirt Pack (3),Clothing,12,29.99,359.88,East
2024-10-27,PETS001,Dog Food Premium 10kg,Pet Supplies,7,54.99,384.93,West
2024-10-27,BOOK003,Mystery Novel Collection,Books,37,24.99,924.63,West
2024-10-27,BEAU003,Electric Toothbrush,Beauty & Personal Care,28,49.99,1399.72,South
2024-10-28,SPRT004,Camping Tent 4-Person,Sports & Outdoors,23,149.99,3449.77,North
2024-10-28,ELEC002,USB-C Fast Charger,Electronics,48,24.99,1199.52,South
2024-10-28,BEAU003,Electric Toothbrush,Beauty & Personal Care,9,49.99,449.91,East
2024-10-28,CLTH001,Running Shoes Men,Clothing,27,82.39,2224.53,East
2024-10-28,CLTH002,Winter Jacket Women,Clothing,69,129.99,8969.31,East
2024-10-28,ELEC003,Portable Power Bank 20000mAh,Electronics,46,49.99,2299.54,East
2024-10-28,ELEC002,USB-C Fast Charger,Electronics,10,24.99,249.9,Central
2024-10-28,ELEC003,Portable Power Bank 20000mAh,Electronics,18,49.99,899.82,North
2024-10-28,SPRT001,Yoga Mat Premium,Sports & Outdoors,5,34.99,174.95,West
2024-10-28,HOME002,Non-Stick Frying Pan Set,Home & Kitchen,1,45.99,45.99,North
2024-10-28,SPRT004,Camping Tent 4-Person,Sports & Outdoors,30,149.99,4499.7,Central
2024-10-29,CLTH004,Denim Jeans Classic,Clothing,24,54.99,1319.76,West
2024-10-29,TOYS003,Remote Control Car,Toys & Games,13,49.99,649.87,Central
2024-10-29,FOOD001,Organic Coffee Beans 1kg,Food & Grocery,12,23.48,281.76,Central
2024-10-29,CLTH002,Winter Jacket Women,Clothing,57,129.99,7409.43,South
2024-10-29,SPRT004,Camping Tent 4-Person,Sports & Outdoors,20,149.99,2999.8,East
2024-10-29,OFFC002,LED Desk Lamp,Office Supplies,36,39.99,1439.64,West
2024-10-29,PETS001,Dog Food Premium 10kg,Pet Supplies,8,54.99,439.92,Central
2024-10-30,SPRT001,Yoga Mat Premium,Sports & Outdoors,24,29.1,698.4,North
2024-10-30,BOOK001,Python Programming Guide,Books,25,44.99,1124.75,East
2024-10-30,CLTH001,Running Shoes Men,Clothing,27,89.99,2429.73,Central
2024-10-30,ELEC001,Wireless Bluetooth Headphones,Electronics,12,79.99,959.88,Central
2024-10-30,SPRT002,Resistance Bands Set,Sports & Outdoors,46,19.99,919.54,Central
2024-10-30,PETS002,Cat Scratching Post,Pet Supplies,46,44.99,2069.54,South
2024-10-30,FOOD003,Green Tea Collection,Food & Grocery,34,19.99,679.66,South
2024-10-30,HOME002,Non-Stick Frying Pan Set,Home & Kitchen,15,45.99,689.85,North
2024-10-30,ELEC002,USB-C Fast Charger,Electronics,61,24.99,1524.39,Central
2024-10-30,ELEC004,Smart Watch Pro,Electronics,67,199.99,13399.33,Central
2024-10-31,SPRT001,Yoga Mat Premium,Sports & Outdoors,42,34.99,1469.58,South
2024-10-31,HOME001,Stainless Steel Coffee Maker,Home & Kitchen,14,81.45,1140.3,West
2024-10-31,BOOK002,The Art of Cooking,Books,48,32.99,1583.52,North
2024-10-31,SPRT002,Resistance Bands Set,Sports & Outdoors,4,19.99,79.96,Central
2024-10-31,BEAU001,Vitamin C Serum,Beauty & Personal Care,26,28.99,753.74,East
2024-10-31,OFFC004,Wireless Mouse,Office Supplies,44,29.99,1319.56,North
2024-11-01,TOYS001,Building Blocks Set 500pc,Toys & Games,28,39.99,1119.72,East
2024-11-01,OFFC004,Wireless Mouse,Office Supplies,50,29.99,1499.5,East
2024-11-01,CLTH001,Running Shoes Men,Clothing,75,74.48,5586.0,North
2024-11-01,BOOK002,The Art of Cooking,Books,12,32.99,395.88,East
2024-11-01,BOOK001,Python Programming Guide,Books,19,37.49,712.31,Central
2024-11-02,PETS002,Cat Scratching Post,Pet Supplies,40,40.17,1606.8,East
2024-11-02,FOOD002,Protein Bars Box (12),Food & Grocery,16,29.99,479.84,North
2024-11-02,HOME001,Stainless Steel Coffee Maker,Home & Kitchen,45,89.99,4049.55,East
2024-11-02,HOME003,Air Fryer 5.5L,Home & Kitchen,24,120.16,2883.84,North
2024-11-02,PETS002,Cat Scratching Post,Pet Supplies,34,44.99,1529.66,Central
2024-11-02,TOYS003,Remote Control Car,Toys & Games,45,49.99,2249.55,West
2024-11-02,CLTH003,Cotton T-Shirt Pack (3),Clothing,63,29.99,1889.37,Central
2024-11-02,BOOK002,The Art of Cooking,Books,2,28.81,57.62,Central
2024-11-03,SPRT002,Resistance Bands Set,Sports & Outdoors,12,19.99,239.88,East
2024-11-03,FOOD002,Protein Bars Box (12),Food & Grocery,45,25.27,1137.15,Central
2024-11-03,BEAU001,Vitamin C Serum,Beauty & Personal Care,37,28.99,1072.63,East
2024-11-03,FOOD002,Protein Bars Box (12),Food & Grocery,26,29.99,779.74,West
2024-11-03,SPRT002,Resistance Bands Set,Sports & Outdoors,3,19.99,59.97,South
2024-11-03,HOME001,Stainless Steel Coffee Maker,Home & Kitchen,12,89.99,1079.88,South
2024-11-03,OFFC004,Wireless Mouse,Office Supplies,40,27.11,1084.4,Central
2024-11-03,OFFC003,Notebook Set Premium,Office Supplies,37,18.99,702.63,East
2024-11-04,OFFC004,Wireless Mouse,Office Supplies,41,29.99,1229.59,Central
2024-11-04,OFFC001,Ergonomic Office Chair,Office Supplies,9,249.99,2249.91,South
2024-11-04,FOOD002,Protein Bars Box (12),Food & Grocery,16,29.99,479.84,Central
2024-11-04,PETS002,Cat Scratching Post,Pet Supplies,49,44.99,2204.51,South
2024-11-04,SPRT002,Resistance Bands Set,Sports & Outdoors,23,19.99,459.77,Central
2024-11-04,OFFC003,Notebook Set Premium,Office Supplies,33,18.99,626.67,West
2024-11-04,SPRT001,Yoga Mat Premium,Sports & Outdoors,8,34.99,279.92,East
2024-11-04,BOOK003,Mystery Novel Collection,Books,17,24.99,424.83,South
2024-11-05,ELEC004,Smart Watch Pro,Electronics,12,199.99,2399.88,North
2024-11-05,HOME003,Air Fryer 5.5L,Home & Kitchen,3,129.99,389.97,West
2024-11-05,PETS002,Cat Scratching Post,Pet Supplies,20,41.19,823.8,North
2024-11-05,ELEC002,USB-C Fast Charger,Electronics,73,22.0,1606.0,East
2024-11-05,PETS003,Pet Carrier Medium,Pet Supplies,25,39.99,999.75,Central
2024-11-05,OFFC002,LED Desk Lamp,Office Supplies,35,39.99,1399.65,Central
2024-11-05,CLTH002,Winter Jacket Women,Clothing,22,129.99,2859.78,West
2024-11-05,SPRT004,Camping Tent 4-Person,Sports & Outdoors,5,134.82,674.1,North
2024-11-06,BEAU001,Vitamin C Serum,Beauty & Personal Care,16,23.76,380.16,East
2024-11-06,HOME001,Stainless Steel Coffee Maker,Home & Kitchen,33,89.99,2969.67,West
2024-11-06,BOOK003,Mystery Novel Collection,Books,3,24.99,74.97,West
2024-11-06,ELEC003,Portable Power Bank 20000mAh,Electronics,33,49.99,1649.67,East
2024-11-06,OFFC004,Wireless Mouse,Office Supplies,49,29.99,1469.51,South
2024-11-06,CLTH002,Winter Jacket Women,Clothing,48,129.99,6239.52,West
2024-11-06,ELEC001,Wireless Bluetooth Headphones,Electronics,60,79.99,4799.4,East
2024-11-07,PETS003,Pet Carrier Medium,Pet Supplies,41,39.99,1639.59,Central
2024-11-07,OFFC003,Notebook Set Premium,Office Supplies,38,18.99,721.62,South
2024-11-07,CLTH002,Winter Jacket Women,Clothing,60,129.99,7799.4,Central
2024-11-07,PETS003,Pet Carrier Medium,Pet Supplies,6,32.67,196.02,West
2024-11-07,BEAU003,Electric Toothbrush,Beauty & Personal Care,30,49.99,1499.7,East
2024-11-07,ELEC001,Wireless Bluetooth Headphones,Electronics,13,71.48,929.24,East
2024-11-07,OFFC001,Ergonomic Office Chair,Office Supplies,1,249.99,249.99,North
2024-11-07,BEAU001,Vitamin C Serum,Beauty & Personal Care,12,28.99,347.88,South
2024-11-07,SPRT003,Hiking Backpack 40L,Sports & Outdoors,32,79.99,2559.68,East
2024-11-07,OFFC003,Notebook Set Premium,Office Supplies,2,16.88,33.76,West
2024-11-07,TOYS001,Building Blocks Set 500pc,Toys & Games,3,39.99,119.97,South
2024-11-07,ELEC001,Wireless Bluetooth Headphones,Electronics,12,79.99,959.88,West
2024-11-07,PETS002,Cat Scratching Post,Pet Supplies,38,44.99,1709.62,Central
2024-11-07,BOOK001,Python Programming Guide,Books,41,44.99,1844.59,Central
2024-11-08,BOOK003,Mystery Novel Collection,Books,45,24.99,1124.55,North
2024-11-08,PETS002,Cat Scratching Post,Pet Supplies,24,44.99,1079.76,South
2024-11-08,BOOK003,Mystery Novel Collection,Books,4,24.99,99.96,North
2024-11-08,CLTH002,Winter Jacket Women,Clothing,60,129.99,7799.4,South
2024-11-08,SPRT003,Hiking Backpack 40L,Sports & Outdoors,10,79.99,799.9,South
2024-11-08,PETS001,Dog Food Premium 10kg,Pet Supplies,41,54.99,2254.59,Central
2024-11-08,FOOD002,Protein Bars Box (12),Food & Grocery,29,29.99,869.71,North
2024-11-08,ELEC003,Portable Power Bank 20000mAh,Electronics,15,45.73,685.95,North
2024-11-08,ELEC003,Portable Power Bank 20000mAh,Electronics,48,49.99,2399.52,North
2024-11-08,FOOD003,Green Tea Collection,Food & Grocery,36,19.99,719.64,West
2024-11-08,FOOD003,Green Tea Collection,Food & Grocery,16,19.99,319.84,North
2024-11-08,BOOK002,The Art of Cooking,Books,35,32.99,1154.65,Central
2024-11-08,OFFC001,Ergonomic Office Chair,Office Supplies,33,249.99,8249.67,West
2024-11-08,CLTH004,Denim Jeans Classic,Clothing,51,45.24,2307.24,Central
2024-11-08,FOOD001,Organic Coffee Beans 1kg,Food & Grocery,28,24.99,699.72,South
2024-11-09,BOOK003,Mystery Novel Collection,Books,22,23.23,511.06,Central
2024-11-09,FOOD003,Green Tea Collection,Food & Grocery,2,19.99,39.98,East
2024-11-09,BEAU003,Electric Toothbrush,Beauty & Personal Care,13,49.99,649.87,South
2024-11-09,TOYS003,Remote Control Car,Toys & Games,35,49.99,1749.65,East
2024-11-09,SPRT002,Resistance Bands Set,Sports & Outdoors,46,18.19,836.74,East
2024-11-09,OFFC003,Notebook Set Premium,Office Supplies,12,18.99,227.88,West
2024-11-09,BOOK003,Mystery Novel Collection,Books,17,24.99,424.83,North
2024-11-09,BOOK002,The Art of Cooking,Books,20,27.51,550.2,East
2024-11-09,FOOD001,Organic Coffee Beans 1kg,Food & Grocery,17,24.99,424.83,East
2024-11-10,FOOD001,Organic Coffee Beans 1kg,Food & Grocery,25,24.99,624.75,Central
2024-11-10,FOOD002,Protein Bars Box (12),Food & Grocery,18,25.43,457.74,East
2024-11-10,PETS002,Cat Scratching Post,Pet Supplies,2,44.99,89.98,North
2024-11-10,BOOK001,Python Programming Guide,Books,45,44.99,2024.55,West
2024-11-10,CLTH002,Winter Jacket Women,Clothing,25,129.99,3249.75,East
2024-11-10,BOOK003,Mystery Novel Collection,Books,40,24.99,999.6,West
2024-11-10,FOOD001,Organic Coffee Beans 1kg,Food & Grocery,37,24.99,924.63,North
2024-11-10,HOME001,Stainless Steel Coffee Maker,Home & Kitchen,14,89.99,1259.86,West
2024-11-10,OFFC003,Notebook Set Premium,Office Supplies,14,18.99,265.86,North
2024-11-10,CLTH002,Winter Jacket Women,Clothing,25,129.99,3249.75,North
2024-11-10,BEAU002,Hair Dryer Professional,Beauty & Personal Care,33,49.67,1639.11,South
2024-11-11,BOOK001,Python Programming Guide,Books,7,44.99,314.93,South
2024-11-11,ELEC004,Smart Watch Pro,Electronics,64,199.99,12799.36,South
2024-11-11,BOOK003,Mystery Novel Collection,Books,46,24.99,1149.54,East
2024-11-11,CLTH004,Denim Jeans Classic,Clothing,55,54.99,3024.45,West
2024-11-11,TOYS001,Building Blocks Set 500pc,Toys & Games,14,32.0,448.0,West
2024-11-11,OFFC004,Wireless Mouse,Office Supplies,7,27.46,192.22,South
2024-11-11,OFFC002,LED Desk Lamp,Office Supplies,43,32.49,1397.07,Central
2024-11-11,SPRT002,Resistance Bands Set,Sports & Outdoors,46,18.88,868.48,Central
2024-11-12,CLTH004,Denim Jeans Classic,Clothing,39,54.99,2144.61,West
2024-11-12,OFFC002,LED Desk Lamp,Office Supplies,23,35.6,818.8,Central
2024-11-12,BOOK001,Python Programming Guide,Books,9,36.47,328.23,West
2024-11-12,SPRT001,Yoga Mat Premium,Sports & Outdoors,6,29.92,179.52,North
2024-11-12,HOME001,Stainless Steel Coffee Maker,Home & Kitchen,18,89.99,1619.82,North
2024-11-12,ELEC003,Portable Power Bank 20000mAh,Electronics,25,49.99,1249.75,East
2024-11-12,PETS001,Dog Food Premium 10kg,Pet Supplies,1,47.26,47.26,East
2024-11-12,BEAU002,Hair Dryer Professional,Beauty & Personal Care,25,59.99,1499.75,Central
2024-11-12,BEAU003,Electric Toothbrush,Beauty & Personal Care,26,42.42,1102.92,West
2024-11-12,TOYS003,Remote Control Car,Toys & Games,3,49.99,149.97,North
2024-11-12,ELEC003,Portable Power Bank 20000mAh,Electronics,58,49.99,2899.42,South
2024-11-12,CLTH004,Denim Jeans Classic,Clothing,31,54.99,1704.69,Central
2024-11-12,HOME003,Air Fryer 5.5L,Home & Kitchen,22,129.99,2859.78,South
2024-11-12,BEAU002,Hair Dryer Professional,Beauty & Personal Care,3,59.99,179.97,East
2024-11-12,CLTH001,Running Shoes Men,Clothing,46,89.99,4139.54,Central
2024-11-13,FOOD001,Organic Coffee Beans 1kg,Food & Grocery,44,21.78,958.32,West
2024-11-13,ELEC002,USB-C Fast Charger,Electronics,31,24.99,774.69,Central
2024-11-13,BOOK002,The Art of Cooking,Books,42,32.99,1385.58,West
2024-11-13,OFFC001,Ergonomic Office Chair,Office Supplies,20,249.99,4999.8,Central
2024-11-13,SPRT003,Hiking Backpack 40L,Sports & Outdoors,2,79.99,159.98,West
2024-11-13,HOME003,Air Fryer 5.5L,Home & Kitchen,40,129.99,5199.6,East
2024-11-13,CLTH003,Cotton T-Shirt Pack (3),Clothing,49,29.99,1469.51,West
2024-11-13,ELEC002,USB-C Fast Charger,Electronics,30,21.36,640.8,East
2024-11-13,ELEC003,Portable Power Bank 20000mAh,Electronics,55,47.27,2599.85,South
2024-11-14,SPRT001,Yoga Mat Premium,Sports & Outdoors,5,34.99,174.95,West
2024-11-14,SPRT004,Camping Tent 4-Person,Sports & Outdoors,33,149.99,4949.67,West
2024-11-14,BEAU002,Hair Dryer Professional,Beauty & Personal Care,37,59.99,2219.63,West
2024-11-14,SPRT004,Camping Tent 4-Person,Sports & Outdoors,5,149.99,749.95,East
2024-11-14,PETS001,Dog Food Premium 10kg,Pet Supplies,25,54.99,1374.75,Central
2024-11-14,FOOD001,Organic Coffee Beans 1kg,Food & Grocery,50,24.99,1249.5,West
2024-11-14,FOOD001,Organic Coffee Beans 1kg,Food & Grocery,45,24.99,1124.55,South
2024-11-14,CLTH004,Denim Jeans Classic,Clothing,72,54.99,3959.28,West
2024-11-15,PETS003,Pet Carrier Medium,Pet Supplies,12,34.43,413.16,North
2024-11-15,ELEC001,Wireless Bluetooth Headphones,Electronics,54,79.99,4319.46,East
2024-11-15,FOOD002,Protein Bars Box (12),Food & Grocery,15,29.99,449.85,Central
2024-11-15,ELEC001,Wireless Bluetooth Headphones,Electronics,51,79.99,4079.49,North
2024-11-15,PETS003,Pet Carrier Medium,Pet Supplies,29,39.99,1159.71,East
2024-11-15,OFFC002,LED Desk Lamp,Office Supplies,16,39.99,639.84,Central
2024-11-15,OFFC002,LED Desk Lamp,Office Supplies,32,39.99,1279.68,East
2024-11-15,OFFC002,LED Desk Lamp,Office Supplies,48,37.56,1802.88,South
2024-11-15,ELEC003,Portable Power Bank 20000mAh,Electronics,25,41.84,1046.0,North
2024-11-15,HOME002,Non-Stick Frying Pan Set,Home & Kitchen,24,45.99,1103.76,Central
2024-11-15,OFFC002,LED Desk Lamp,Office Supplies,35,39.99,1399.65,North
2024-11-15,SPRT001,Yoga Mat Premium,Sports & Outdoors,2,34.99,69.98,North
2024-11-15,CLTH001,Running Shoes Men,Clothing,45,89.99,4049.55,South
2024-11-15,ELEC001,Wireless Bluetooth Headphones,Electronics,36,79.99,2879.64,West
2024-11-15,BOOK002,The Art of Cooking,Books,14,30.25,423.5,East
2024-11-15,TOYS001,Building Blocks Set 500pc,Toys & Games,19,39.99,759.81,East
2024-11-16,HOME003,Air Fryer 5.5L,Home & Kitchen,37,129.99,4809.63,West
2024-11-16,OFFC003,Notebook Set Premium,Office Supplies,1,18.99,18.99,East
2024-11-16,HOME001,Stainless Steel Coffee Maker,Home & Kitchen,12,74.7,896.4,West
2024-11-16,FOOD003,Green Tea Collection,Food & Grocery,33,19.99,659.67,South
2024-11-16,PETS001,Dog Food Premium 10kg,Pet Supplies,37,54.99,2034.63,West
2024-11-16,OFFC002,LED Desk Lamp,Office Supplies,23,39.99,919.77,West
2024-11-16,SPRT001,Yoga Mat Premium,Sports & Outdoors,24,34.99,839.76,Central
2024-11-16,SPRT002,Resistance Bands Set,Sports & Outdoors,20,18.29,365.8,East
2024-11-17,TOYS001,Building Blocks Set 500pc,Toys & Games,3,39.99,119.97,West
2024-11-17,ELEC002,USB-C Fast Charger,Electronics,3,24.99,74.97,Central
2024-11-17,PETS002,Cat Scratching Post,Pet Supplies,12,44.99,539.88,West
2024-11-17,CLTH002,Winter Jacket Women,Clothing,24,109.1,2618.4,North
2024-11-17,CLTH002,Winter Jacket Women,Clothing,9,129.99,1169.91,Central
2024-11-17,HOME002,Non-Stick Frying Pan Set,Home & Kitchen,32,45.99,1471.68,West
2024-11-17,BOOK001,Python Programming Guide,Books,23,44.99,1034.77,West
2024-11-17,CLTH004,Denim Jeans Classic,Clothing,15,45.52,682.8,West
2024-11-17,SPRT002,Resistance Bands Set,Sports & Outdoors,25,16.21,405.25,East
2024-11-17,ELEC001,Wireless Bluetooth Headphones,Electronics,48,79.99,3839.52,West
2024-11-17,SPRT002,Resistance Bands Set,Sports & Outdoors,43,19.99,859.57,Central
2024-11-17,CLTH004,Denim Jeans Classic,Clothing,31,54.99,1704.69,South
2024-11-17,PETS002,Cat Scratching Post,Pet Supplies,45,44.99,2024.55,West
2024-11-17,BEAU003,Electric Toothbrush,Beauty & Personal Care,10,49.99,499.9,South
2024-11-17,CLTH002,Winter Jacket Women,Clothing,70,129.99,9099.3,North
2024-11-18,HOME003,Air Fryer 5.5L,Home & Kitchen,10,129.99,1299.9,West
2024-11-18,HOME001,Stainless Steel Coffee Maker,Home & Kitchen,25,77.62,1940.5,East
2024-11-18,ELEC003,Portable Power Bank 20000mAh,Electronics,64,49.99,3199.36,East
2024-11-18,TOYS001,Building Blocks Set 500pc,Toys & Games,7,39.99,279.93,North
2024-11-18,OFFC003,Notebook Set Premium,Office Supplies,23,15.29,351.67,West
2024-11-18,PETS002,Cat Scratching Post,Pet Supplies,9,44.99,404.91,West
2024-11-18,ELEC004,Smart Watch Pro,Electronics,30,199.99,5999.7,Central
2024-11-18,BEAU001,Vitamin C Serum,Beauty & Personal Care,16,27.36,437.76,West
2024-11-19,SPRT004,Camping Tent 4-Person,Sports & Outdoors,36,132.79,4780.44,North
2024-11-19,HOME002,Non-Stick Frying Pan Set,Home & Kitchen,45,45.99,2069.55,East
2024-11-19,BOOK003,Mystery Novel Collection,Books,41,24.99,1024.59,West
2024-11-19,OFFC004,Wireless Mouse,Office Supplies,40,29.99,1199.6,Central
2024-11-19,PETS001,Dog Food Premium 10kg,Pet Supplies,21,54.99,1154.79,East
2024-11-19,HOME003,Air Fryer 5.5L,Home & Kitchen,41,129.99,5329.59,South
2024-11-19,OFFC004,Wireless Mouse,Office Supplies,18,29.99,539.82,Central
2024-11-19,ELEC003,Portable Power Bank 20000mAh,Electronics,24,49.99,1199.76,Central
2024-11-19,CLTH002,Winter Jacket Women,Clothing,67,129.99,8709.33,North
2024-11-19,OFFC002,LED Desk Lamp,Office Supplies,29,39.99,1159.71,North
2024-11-19,ELEC002,USB-C Fast Charger,Electronics,12,24.99,299.88,North
2024-11-20,CLTH002,Winter Jacket Women,Clothing,10,129.99,1299.9,Central
2024-11-20,BEAU002,Hair Dryer Professional,Beauty & Personal Care,43,59.99,2579.57,East
2024-11-20,PETS003,Pet Carrier Medium,Pet Supplies,41,35.46,1453.86,East
2024-11-20,FOOD003,Green Tea Collection,Food & Grocery,5,18.27,91.35,West
2024-11-20,ELEC002,USB-C Fast Charger,Electronics,72,24.99,1799.28,North
2024-11-20,ELEC003,Portable Power Bank 20000mAh,Electronics,22,49.99,1099.78,West
2024-11-20,BEAU002,Hair Dryer Professional,Beauty & Personal Care,33,59.99,1979.67,West
2024-11-20,OFFC002,LED Desk Lamp,Office Supplies,2,39.99,79.98,East
2024-11-20,BOOK001,Python Programming Guide,Books,15,44.99,674.85,East
2024-11-20,TOYS002,Board Game Strategy,Toys & Games,40,34.99,1399.6,West
2024-11-20,SPRT002,Resistance Bands Set,Sports & Outdoors,1,17.46,17.46,North
2024-11-20,HOME003,Air Fryer 5.5L,Home & Kitchen,36,114.63,4126.68,South
2024-11-20,BOOK003,Mystery Novel Collection,Books,7,24.99,174.93,West
2024-11-20,ELEC001,Wireless Bluetooth Headphones,Electronics,22,79.99,1759.78,West
2024-11-20,ELEC002,USB-C Fast Charger,Electronics,54,24.99,1349.46,Central
2024-11-20,OFFC004,Wireless Mouse,Office Supplies,24,29.99,719.76,West
2024-11-20,ELEC003,Portable Power Bank 20000mAh,Electronics,72,49.99,3599.28,East
2024-11-20,ELEC004,Smart Watch Pro,Electronics,60,199.99,11999.4,South
2024-11-21,FOOD003,Green Tea Collection,Food & Grocery,30,19.99,599.7,North
2024-11-21,ELEC002,USB-C Fast Charger,Electronics,51,24.99,1274.49,West
2024-11-21,PETS002,Cat Scratching Post,Pet Supplies,21,44.99,944.79,East
2024-11-21,OFFC002,LED Desk Lamp,Office Supplies,33,39.99,1319.67,West
2024-11-21,SPRT001,Yoga Mat Premium,Sports & Outdoors,39,34.99,1364.61,West
2024-11-21,CLTH003,Cotton T-Shirt Pack (3),Clothing,18,29.99,539.82,West
2024-11-21,SPRT003,Hiking Backpack 40L,Sports & Outdoors,10,79.99,799.9,South
2024-11-22,FOOD002,Protein Bars Box (12),Food & Grocery,17,29.99,509.83,South
2024-11-22,BEAU001,Vitamin C Serum,Beauty & Personal Care,40,24.05,962.0,East
2024-11-22,TOYS003,Remote Control Car,Toys & Games,45,43.91,1975.95,East
2024-11-22,ELEC003,Portable Power Bank 20000mAh,Electronics,36,49.99,1799.64,South
2024-11-22,BOOK003,Mystery Novel Collection,Books,9,24.99,224.91,West
2024-11-22,ELEC004,Smart Watch Pro,Electronics,7,199.99,1399.93,East
2024-11-22,TOYS001,Building Blocks Set 500pc,Toys & Games,32,34.11,1091.52,Central
2024-11-22,BOOK002,The Art of Cooking,Books,44,32.99,1451.56,East
2024-11-23,HOME001,Stainless Steel Coffee Maker,Home & Kitchen,50,89.99,4499.5,Central
2024-11-23,OFFC003,Notebook Set Premium,Office Supplies,49,18.99,930.51,Central
2024-11-23,CLTH002,Winter Jacket Women,Clothing,1,129.99,129.99,North
2024-11-23,BEAU003,Electric Toothbrush,Beauty & Personal Care,47,40.05,1882.35,East
2024-11-23,ELEC003,Portable Power Bank 20000mAh,Electronics,33,49.99,1649.67,South
2024-11-23,CLTH001,Running Shoes Men,Clothing,69,89.99,6209.31,East
2024-11-23,CLTH001,Running Shoes Men,Clothing,63,89.99,5669.37,West
2024-11-23,PETS001,Dog Food Premium 10kg,Pet Supplies,36,54.99,1979.64,West
2024-11-23,CLTH002,Winter Jacket Women,Clothing,40,129.99,5199.6,South
2024-11-23,BOOK001,Python Programming Guide,Books,23,36.03,828.69,West
2024-11-23,CLTH004,Denim Jeans Classic,Clothing,7,54.99,384.93,Central
2024-11-23,OFFC003,Notebook Set Premium,Office Supplies,21,18.99,398.79,South
2024-11-23,SPRT004,Camping Tent 4-Person,Sports & Outdoors,14,149.99,2099.86,East
2024-11-23,CLTH004,Denim Jeans Classic,Clothing,55,54.99,3024.45,South
2024-11-23,BOOK003,Mystery Novel Collection,Books,49,24.99,1224.51,North
2024-11-24,CLTH003,Cotton T-Shirt Pack (3),Clothing,25,29.99,749.75,South
